[Tue May 24 17:52:51.818391 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818439 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP Stack trace:, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818452 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post-new.php:0, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818463 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP   2. get_default_post_to_edit() /home/serg/site/gmb/wp-admin/post-new.php:83, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818472 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP   3. wp_insert_post() /home/serg/site/gmb/wp-admin/includes/post.php:598, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818479 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP   4. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818488 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP   5. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Tue May 24 17:52:51.818496 2016] [:error] [pid 16831] [client 127.0.0.1:52296] PHP   6. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195113 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195467 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP Stack trace:, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195494 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post-new.php:0, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195506 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP   2. get_default_post_to_edit() /home/serg/site/gmb/wp-admin/post-new.php:83, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195516 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP   3. wp_insert_post() /home/serg/site/gmb/wp-admin/includes/post.php:598, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195525 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP   4. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195533 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP   5. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:15.195608 2016] [:error] [pid 4355] [client 127.0.0.1:53739] PHP   6. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/edit.php?post_type=acf
[Wed May 25 08:36:26.849906 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849933 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849944 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849957 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849961 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849966 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849970 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849974 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:36:26.849978 2016] [:error] [pid 2136] [client 127.0.0.1:53741] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed May 25 08:41:38.917505 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917535 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP Stack trace:, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917548 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   1. {main}() /home/serg/site/gmb/wp-admin/post.php:0, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917553 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   2. edit_post() /home/serg/site/gmb/wp-admin/post.php:193, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917558 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   3. wp_update_post() /home/serg/site/gmb/wp-admin/includes/post.php:369, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917563 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   4. wp_insert_post() /home/serg/site/gmb/wp-includes/post.php:3458, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917567 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   5. do_action() /home/serg/site/gmb/wp-includes/post.php:3385, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917572 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   6. call_user_func_array:{/home/serg/site/gmb/wp-includes/plugin.php:525}() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:41:38.917576 2016] [:error] [pid 4365] [client 127.0.0.1:53757] PHP   7. pp_gallery_upload() /home/serg/site/gmb/wp-includes/plugin.php:525, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
[Wed May 25 08:45:25.355671 2016] [:error] [pid 4361] [client 127.0.0.1:53773] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/gmb/wp-content/plugins/pp-gallery/index.php on line 35, referer: http://gmb.tes/wp-admin/post.php?post=47&action=edit
